title,lemmatized_text
Hang 'em High,marshall jed cooper survives hanging vowing revenge lynch mob left dangling carry oath vengeance return former job lawman long caught nine men hit list start dispensing brand wild west justice
House of Cards,paris american boxer stumble upon international fascist conspiracy aim create new world order
Madigan,policeman bonaro madigan lose gun fugitive barney benesch compensation two nyc detective given weekend bring benesch justice bonaro madigan follow various lead police commissioner russell go duty including attending function meeting aggrieved relative counseling spouse fallen officer
A Guide for the Married Man,man give friend series lesson cheat one wife without caught
The Buccaneer,war britain general andrew jackson men left defend new orleans learns british fleet arrive ship men take city situation island near city becomes strategically important party inhabited last big buccaneer jean lafitte although lafitte never attack american ship governor hate selling merchandise without tax loved citizen reason big fight get nearer lafitte drawn front heart belongs america people urge join party likely win
Firecreek,peace loving part time sheriff small town firecreek must take stand gang vicious outlaw take town
The Borgia Stick,suburban couple discovers pawn powerful crime syndicate try break away cartel go legitimate syndicate want give easily
The Last Frontier,three trapper become scout cavalry captain guy madison loses fort hated colonel robert preston
Send Me No Flowers,one many visit doctor hypochondriac george kimball mistake dying man diagnosis belief two week live wanting take care wife judy tell try find new husband finally tell quickly find dying belief lame excuse hide affair decides leave
The Night of the Grizzly,marshall big jim cole turn badge head wyoming family order settle land left relative face opposition neighbor want land son grizzly bear nicknamed satan keep killing cole livestock
Leatherheads,light hearted comedy beginning professional american football decorated war hero college star tempted playing professional football everyone see chance make big money reporter dig dirt war hero everyone could lose
Burn After Reading,disc containing memoir former cia analyst fall hand gym employee linda chad see chance make enough money linda life changing cosmetic surgery predictably event whirl control duo orbit
Man on Fire,businessman lawyer see custody battle ex wife son
A Time for Killing,civil war confederate soldier escape union prison head mexican border along way kill union courier bearing news war keeping message secret captain men go soon find battle union search party also unaware war end
